Keys,V1,V2,V3,V4
170508_155116,3.07,3.1,3.03,
170509_110004,3.04,3.03,3.12,3.09
170509_112740,3.11,3.03,3.14,3.07
170509_120832,3.11,3.09,3.13,3.02
170509_121257,3.15,3.1,3.01,3.05
170509_130353,3.01,3.1,3.04,3.13
170509_130854,3.03,3.13,3.09,3.04
170509_131523,3.13,3.1,3.03,3.09
170509_134006,3.1,3.06,3.09,3.13
170509_140344,3.06,3.14,3.02,3.08
170509_141148,3.14,3.08,3.11,3.06
170509_141727,3.12,3.03,3.13,3.07
170509_154712,3.12,3.02,3.04,3.09
170509_155154,3.11,3.02,3.07,3.15
170510_124828,3.07,3.03,3.05,3.15
170510_150843,3.06,3.09,3.12,3.14
170512_122527,3.01,3.13,3.08,3.06
170512_122901,3.12,3.05,3.07,3.01
170512_131409,3.02,3.13,3.11,3.08
170512_134639,3.15,3.03,3.08,3.04
170512_140044,3.11,3.14,3.02,3.06
170513_123534,3.15,3.01,3.06,3.09
170513_133244,3.08,3.13,3.1,3.01
170513_134921,3.14,3.06,3.02,3.1
170513_143545,3.11,3.01,3.14,3.08
170513_144801,3.14,3.1,3.09,3.03
170513_145329,3.15,3.01,3.11,3.06
170513_150021,3.09,3.06,3.02,3.11
170513_153927,3.01,3.1,3.13,3.07
170513_155237,3.08,3.1,3.06,3.13
170513_155829,3.12,3.04,3.03,3.14
170513_161028,3.1,3.04,3.07,3.14
170513_162353,3.04,3.13,3.09,3.02
170513_163650,3.01,3.11,3.13,3.08
170520_101249,3.04,3.02,3.14,3.07
170520_102833,3.14,3.05,3.07,3.03
170520_110306,3.14,3.12,3.04,3.09
170520_110805,3.07,3.1,3.13,3.04
170520_113632,3.09,3.15,3.02,3.11
170520_123612,3.03,3.14,3.07,3.1
170520_124602,3.11,3.04,3.08,3.15
170520_125110,3.13,3.01,3.05,3.09
170520_125808,3.12,3.14,3.08,3.03
170520_130343,3.15,3.12,3.09,3.06
170520_131029,3.01,3.14,3.11,3.05
170520_131627,3.12,3.05,3.15,3.01
170520_133126,3.09,3.01,3.05,3.1
170520_134508,3.04,3.11,3.15,3.01
170520_141602,3.04,3.1,3.02,3.14
170520_143414,3.09,3.15,3.05,3.03
170520_144732,3.14,3.08,3.05,3.01
170520_150254,3.13,3.01,3.07,3.04
170520_151355,3.15,3.1,3.07,3.05
170520_152402,3.13,3.07,3.02,3.11
170520_152838,3.08,3.04,3.02,3.14
170520_153931,3.14,3.03,3.05,3.1
170520_155104,3.01,3.07,3.13,3.12
170520_160100,3.04,3.11,3.07,3.01
170520_160557,3.09,3.13,3.1,3.05
170520_161134,3.07,3.05,3.14,3.12
170520_163436,3.02,3.12,3.13,3.09
170521_103132,3.02,3.06,3.07,3.11
170521_103519,3.04,3.02,3.1,3.07
170521_110542,3.09,3.03,3.11,3.13
170521_113723,3.07,3.06,3.15,3.02
170521_131051,3.07,3.11,3.14,3.03
170521_135735,3.14,3.02,3.11,3.09
170521_140156,3.13,3.06,3.1,3.08
170521_140726,3.09,3.11,3.05,3.14
170521_144251,3.06,3.07,3.13,3.01
170521_145541,3.11,3.07,3.03,3.04
170521_150147,3.14,3.04,3.09,3.11
170521_150735,3.03,3.12,3.14,3.09
170521_152007,3.15,3.03,3.07,3.1
170521_154244,3.11,3.02,3.06,3.08
170521_164613,3.07,3.06,3.03,3.1
170522_111401,3.13,3.11,3.07,3.04
170522_112744,3.07,3.12,3.03,3.05
170522_114322,3.04,3.11,3.13,3.02
170522_115352,3.03,3.09,3.06,3.15
170522_120300,3.03,3.1,3.14,3.04
170522_121827,3.09,3.12,3.01,3.15
170522_123332,3.03,3.04,3.07,3.14
170522_125757,3.06,3.13,3.02,3.07
170522_130840,3.08,3.05,3.02,3.15
170522_133120,3.15,3.06,3.07,3.03
170522_133902,3.13,3.12,3.04,3.01
170522_134353,3.05,3.01,3.1,3.14
170522_140947,3.11,3.15,3.01,3.08
170522_141514,3.13,3.03,3.08,3.11
170522_142555,3.15,3.04,3.12,3.08
170522_143112,3.13,3.09,3.01,3.05
170522_143631,3.05,3.07,3.02,3.13
170522_144214,3.03,3.11,3.07,3.14
170522_144821,3.11,3.08,3.01,3.13
170522_145308,3.07,3.11,3.15,3.03
170522_145915,3.13,3.09,3.06,3.11
170522_150629,3.01,3.04,3.1,3.14
170522_154015,3.07,3.03,3.14,3.12
170522_154409,3.11,3.06,3.01,3.08
170522_155036,3.08,3.12,3.05,3.02
170522_155525,3.09,3.1,3.02,3.13
170522_160145,3.03,3.05,3.13,3.1
170522_161509,3.06,3.13,3.01,3.12
170522_162500,3.08,3.1,3.06,3.15
170522_163342,3.04,3.01,3.07,3.13
170522_164611,3.15,3.06,3.07,3.01
170523_102006,3.03,3.08,3.15,3.11
170523_103932,3.06,3.14,3.12,3.08
170523_111547,3.1,3.03,3.15,3.09
170523_114453,3.1,3.07,3.02,3.04
170523_114929,3.03,3.04,3.09,3.12
170523_115420,3.04,3.07,3.11,3.01
170523_120004,3.11,3.04,3.15,3.01
170711_145017,3.04,3.12,3.07,3.15
170711_145849,3.05,3.1,3.14,3.02
170711_150251,3.09,3.11,3.15,3.01
170711_150946,3.08,3.01,3.14,3.12
170711_151500,3.11,3.06,3.08,3.15
170711_152001,3.1,3.05,3.07,3.14
170711_152406,3.01,3.07,3.04,3.13
170711_153330,3.1,3.04,3.14,3.08
170711_153939,3.06,3.01,3.09,3.15
170711_154544,3.13,3.08,3.03,3.05
170711_160502,3.05,3.14,3.07,3.11
170711_160956,3.03,3.04,3.12,3.09
170711_161503,3.11,3.09,3.01,3.06
170711_162445,3.13,3.06,3.01,3.07
170711_163028,3.09,3.13,3.01,3.06
170711_165340,3.13,3.05,3.01,3.12
170712_111501,3.08,3.06,3.02,3.13
170712_112542,3.02,3.04,3.13,3.08
170712_113033,3.02,3.08,3.06,3.14
170712_113353,3.12,3.06,3.08,3.02
170712_115012,3.11,3.09,3.14,3.04
170712_115819,3.08,3.14,3.01,3.06
170712_120547,3.11,3.13,3.08,3.05
170712_122714,3.15,3.03,3.12,3.09
170712_123155,3.04,3.15,3.09,3.03
170712_123747,3.1,3.06,3.08,3.13
170712_130411,3.07,3.03,3.14,3.04
170712_132005,3.1,3.01,3.06,3.09
170712_133612,3.07,3.15,3.01,3.06
170712_135057,3.14,3.11,3.08,3.01
170712_140018,3.13,3.12,3.07,3.02
170712_141123,3.1,3.02,3.15,3.05
170712_141554,3.08,3.01,3.04,3.15
170712_142052,3.05,3.14,3.11,3.01
170712_142539,3.12,3.03,3.07,3.15
170712_143336,3.12,3.04,3.03,3.15
170712_143946,3.09,3.04,3.11,3.14
170712_150517,3.1,3.03,3.07,3.13
170712_151018,3.03,3.04,3.1,3.15
170712_151604,3.03,3.1,3.15,3.09
170712_152155,3.09,3.05,3.11,3.01
170712_152537,3.05,3.1,3.03,3.07
170712_153232,3.11,3.02,3.14,3.09
